HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,year,Tot_Spndng,Tot_Dsg_Unts,Tot_Benes,Avg_Spndng_Per_Dsg_Unt,Avg_Spndng_Per_Clm,Avg_Spndng_Per_Bene,Tot_Clms,Outlier_Flag
J1170_2019,"Injection, hydromorphone, up to 4 mg",Dilaudid*,Hydromorphone HCL/PF*,2019,2269007.78,757621.4,4255.0,2.9949098323,155.69942908,533.25682256,14573.0,0.0
J1190_2019,"Injection, dexrazoxane hydrochloride, per 250 mg",Dexrazoxane*,Dexrazoxane HCL*,2019,1225920.93,6612.0,472.0,185.40848911,862.11035865,2597.2901059,1422.0,0.0
J1200_2019,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL,Diphenhydramine HCL,2019,404984.9,548493.0,117538.0,0.7383592863,0.7546888423,3.4455656894,536625.0,0.0
J1201_2019,"Injection, cetirizine hydrochloride, 0.5 mg",Quzyttir,Cetirizine HCL,2019,\N,\N,\N,\N,\N,\N,\N,\N
J1205_2019,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium*,Chlorothiazide Sodium*,2019,23705.78,408.0,157.0,58.102401961,58.823275434,150.9922293,403.0,0.0
J1212_2019,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",Rimso-50,Dimethyl Sulfoxide,2019,4151979.69,9514.0,1509.0,436.40736704,437.05049368,2751.4775944,9500.0,0.0
J1230_2019,"Injection, methadone hcl, up to 10 mg",Methadone HCL,Methadone HCL,2019,2637.13,149.0,56.0,17.69885906,17.69885906,47.091607143,149.0,0.0
J1240_2019,"Injection, dimenhydrinate, up to 50 mg",Dimenhydrinate,Dimenhydrinate,2019,6647.97,1339.5,350.0,4.9630235162,8.4258174905,18.9942,789.0,0.0
J1245_2019,"Injection, dipyridamole, per 10 mg",Dipyridamole,Dipyridamole,2019,323515.06,239896.7,51093.0,1.3485598593,6.2565765452,6.3318861684,51708.0,0.0
J1250_2019,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL*,Dobutamine HCL*,2019,1339940.61,171839.0,10609.0,7.7976513481,63.183883152,126.30225375,21207.0,0.0
J1265_2019,"Injection, dopamine hcl, 40 mg",Dopamine HCL*,Dopamine HCL*,2019,22183.94,28079.0,34.0,0.7900544891,49.628501119,652.46882353,447.0,0.0
J1270_2019,"Injection, doxercalciferol, 1 mcg",Doxercalciferol*,Doxercalciferol*,2019,4.88,16.0,\N,0.305,0.305,\N,16.0,1.0
J1290_2019,"Injection, ecallantide, 1 mg",Kalbitor,Ecallantide,2019,147848.01,360.0,\N,410.68891667,13440.728182,\N,11.0,1.0
J1300_2019,"Injection, eculizumab, 10 mg",Soliris,Eculizumab,2019,534927999.87,2683148.0,1585.0,199.3658195,25455.791371,337494.00623,21014.0,0.0
J1301_2019,"Injection, edaravone, 1 mg",Radicava,Edaravone,2019,39574364.53,2067032.3,507.0,19.145498854,1730.8591904,78055.945819,22864.0,0.0
J1302_2019,"Injection, sutimlimab-jome, 10 mg",Enjaymo,Sutimlimab-Jome,2019,\N,\N,\N,\N,\N,\N,\N,\N
